22.05.2024 9:44:19.623 CAN1 ID=0x11814CFB, D(8)=0x00-C0-00-00-C0-00-00-C0
22.05.2024 9:44:19.623 CAN1 ID=0x11814DFB, D(8)=0x00-00-C0-00-00-C0-00-00
22.05.2024 9:44:19.623 CAN1 ID=0x11814EFB, D(8)=0xC0-00-00-C0-00-00-C0-00
22.05.2024 9:44:19.623 CAN1 ID=0x11814FFB, D(8)=0x00-C0-00-00-C0-00-00-C0
22.05.2024 9:44:19.623 CAN1 ID=0x118140FB, D(8)=0x00-00-C0-00-00-C0-00-00
22.05.2024 9:44:19.623 CAN1 ID=0x118141FB, D(8)=0xC0-00-00-C0-00-00-C0-00
22.05.2024 9:44:19.623 CAN1 ID=0x118142FB, D(8)=0x00-C0-00-00-C0-00-00-C0
22.05.2024 9:44:19.623 CAN1 ID=0x118143FB, D(8)=0x00-00-C0-00-00-C0-00-00
22.05.2024 9:44:19.623 CAN1 ID=0x118144FB, D(8)=0xC0-00-00-C0-00-00-C0-00
22.05.2024 9:44:19.623 CAN1 ID=0x118145FB, D(8)=0x00-C0-00-00-C0-00-00-C0
22.05.2024 9:44:19.623 CAN1 ID=0x118146FB, D(8)=0x00-00-C0-00-00-C0-00-00
22.05.2024 9:44:19.623 CAN1 ID=0x118147FB, D(8)=0xC0-00-00-C0-00-00-C0-00
22.05.2024 9:44:19.623 CAN1 ID=0x118148FB, D(8)=0x00-C0-00-00-C0-00-00-C0
22.05.2024 9:44:19.623 CAN1 ID=0x118149FB, D(8)=0x00-00-C0-00-00-C0-00-00
22.05.2024 9:44:19.623 CAN1 ID=0x11814AFB, D(8)=0xC0-00-00-C0-00-00-C0-00
22.05.2024 9:44:19.623 CAN1 ID=0x11814BFB, D(8)=0x00-C0-00-00-C0-00-00-C0
22.05.2024 9:44:19.686 CAN1 ID=0x11814CFB, D(8)=0x00-00-C0-00-00-C0-00-00
22.05.2024 9:44:19.717 CAN1 ID=0x11818DFB, D(8)=0xC0-00-00-C0-00-00-55-55
22.05.2024 9:44:19.717 CAN1 ID=0x10C100FC, D(8)=0x80-00-80-00-80-00-55-00
22.05.2024 9:44:19.717 CAN1 ID=0x10C141FC, D(8)=0x35-E7-80-00-01-55-80-00
22.05.2024 9:44:19.717 CAN1 ID=0x10C142FC, D(8)=0x00-00-80-00-80-00-89-19
22.05.2024 9:44:19.717 CAN1 ID=0x10C143FC, D(8)=0x00-80-00-00-00-00-00-00
22.05.2024 9:44:19.717 CAN1 ID=0x10C144FC, D(8)=0x00-00-00-4F-F5-45-55-5F
