22.05.2024 9:50:08.206 CAN1 ID=0x13C74DFD, D(8)=0xAF-0C-B8-13-91-FF-88-3A
22.05.2024 9:50:08.206 CAN1 ID=0x13C74EFD, D(8)=0x07-00-00-00-8B-CC-F3-ED
22.05.2024 9:50:08.206 CAN1 ID=0x13C74FFD, D(8)=0x85-07-A1-FF-99-6C-08-11
22.05.2024 9:50:08.206 CAN1 ID=0x13C740FD, D(8)=0x00-14-5A-BD-B0-11-DD-D3
22.05.2024 9:50:08.206 CAN1 ID=0x13C741FD, D(8)=0xFB-FF-18-EE-09-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C742FD, D(8)=0xB8-AD-6D-35-EC-7D-A9-FF
22.05.2024 9:50:08.206 CAN1 ID=0x13C743FD, D(8)=0xF2-BB-0A-00-00-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C744FD, D(8)=0x00-00-00-00-00-00-76-97
22.05.2024 9:50:08.206 CAN1 ID=0x13C745FD, D(8)=0x0B-00-00-00-D5-CB-B0-11
22.05.2024 9:50:08.206 CAN1 ID=0x13C746FD, D(8)=0x39-E2-BB-FF-F0-E2-0C-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C747FD, D(8)=0x00-00-A0-CC-F3-ED-BE-D8
22.05.2024 9:50:08.206 CAN1 ID=0x13C748FD, D(8)=0xBF-FF-A9-B6-0D-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C749FD, D(8)=0xD2-7B-DE-11-D7-FD-B6-FF
22.05.2024 9:50:08.206 CAN1 ID=0x13C74AFD, D(8)=0x95-F2-0E-00-00-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C74BFD, D(8)=0x00-00-00-00-00-00-00-92
22.05.2024 9:50:08.206 CAN1 ID=0x13C74CFD, D(8)=0x0F-00-00-00-00-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C74DFD, D(8)=0x00-00-00-00-55-17-10-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C74EFD, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C74FFD, D(8)=0x00-00-F9-8A-11-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C740FD, D(8)=0x32-BD-B0-11-1D-64-BF-FF
22.05.2024 9:50:08.206 CAN1 ID=0x13C741FD, D(8)=0xF9-72-12-00-00-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C742FD, D(8)=0x00-00-00-00-00-00-42-88
22.05.2024 9:50:08.206 CAN1 ID=0x13C743FD, D(8)=0x13-00-00-00-00-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C744FD, D(8)=0x00-00-00-00-17-0D-14-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C745FD, D(8)=0x00-00-B4-AD-6D-35-F4-2F
